threshold,net_benefit,treat_all,analysis,method
0.15999999999999998,0.25362981013300845,0.24992385013706975,NHANES CKD cross-validation,XGBoost
0.16999999999999996,0.24558789529118613,0.24088678809052844,NHANES CKD cross-validation,XGBoost
0.17999999999999997,0.2381039055593115,0.2316293098965105,NHANES CKD cross-validation,XGBoost
0.18999999999999997,0.23040222169575403,0.22214325199399826,NHANES CKD cross-validation,XGBoost
0.19999999999999996,0.22108208955223885,0.21242004264392325,NHANES CKD cross-validation,XGBoost
0.20999999999999996,0.21327359585436295,0.20245067609511216,NHANES CKD cross-validation,XGBoost
0.21999999999999995,0.20738341260729326,0.1922256847629982,NHANES CKD cross-validation,XGBoost
0.22999999999999995,0.20126408772464213,0.18173510924043976,NHANES CKD cross-validation,XGBoost
0.23999999999999996,0.18942879587027273,0.17096846594097187,NHANES CKD cross-validation,XGBoost
0.24999999999999994,0.18407960199004977,0.15991471215351816,NHANES CKD cross-validation,XGBoost
0.25999999999999995,0.17573330259897424,0.1485622082637008,NHANES CKD cross-validation,XGBoost
0.26999999999999996,0.16614335368168942,0.13689867687005286,NHANES CKD cross-validation,XGBoost
0.27999999999999997,0.16145463160388535,0.12491115849324805,NHANES CKD cross-validation,XGBoost
0.29,0.15351061593441245,0.11258596354244871,NHANES CKD cross-validation,XGBoost
0.3,0.1536704233932379,0.09990862016448365,NHANES CKD cross-validation,XGBoost
0.31,0.1478322672352523,0.0868638175581718,NHANES CKD cross-validation,XGBoost
0.31999999999999995,0.1378715665370626,0.07343534428696857,NHANES CKD cross-validation,XGBoost
0.32999999999999996,0.13320656843713205,0.05960602106737106,NHANES CKD cross-validation,XGBoost
0.33999999999999997,0.12880403178910646,0.04535762744717975,NHANES CKD cross-validation,XGBoost
0.35,0.1257175660160735,0.030670821715597818,NHANES CKD cross-validation,XGBoost
0.36,0.11707089552238806,0.015525053304904002,NHANES CKD cross-validation,XGBoost
0.36999999999999994,0.11404711138186624,-0.00010153315057359613,NHANES CKD cross-validation,XGBoost
0.37999999999999995,0.11135566407593374,-0.016232203040098925,NHANES CKD cross-validation,XGBoost
0.38999999999999996,0.10632143730993747,-0.03289174735223177,NHANES CKD cross-validation,XGBoost
0.39999999999999997,0.1039445628997868,-0.050106609808102276,NHANES CKD cross-validation,XGBoost
0.41,0.09960789273969141,-0.06790502692349382,NHANES CKD cross-validation,XGBoost
0.41999999999999993,0.09716197338431001,-0.08631718256010579,NHANES CKD cross-validation,XGBoost
0.42999999999999994,0.09460217708450235,-0.10537537874537078,NHANES CKD cross-validation,XGBoost
0.43999999999999995,0.08970453853183065,-0.12511422479439532,NHANES CKD cross-validation,XGBoost
0.44999999999999996,0.08431866640821868,-0.14557084706338436,NHANES CKD cross-validation,XGBoost
0.45999999999999996,0.07926636657979942,-0.16678512200900258,NHANES CKD cross-validation,XGBoost
0.47,0.07682946453715253,-0.18879993563181402,NHANES CKD cross-validation,XGBoost
0.4799999999999999,0.07028046580285387,-0.21166147285550269,NHANES CKD cross-validation,XGBoost
0.48999999999999994,0.06898281700739999,-0.23541954095070855,NHANES CKD cross-validation,XGBoost
0.49999999999999994,0.06343283582089554,-0.26012793176972276,NHANES CKD cross-validation,XGBoost
0.02,0.35707758583177407,0.35707758583177407,NHANES CKD cross-validation,RuleFit
0.03,0.3504495197063284,0.3504495197063284,NHANES CKD cross-validation,RuleFit
0.039999999999999994,0.34368336886993606,0.343683368869936,NHANES CKD cross-validation,RuleFit
0.049999999999999996,0.33677477275277745,0.33677477275277745,NHANES CKD cross-validation,RuleFit
0.06,0.32971918522887084,0.32971918522887084,NHANES CKD cross-validation,RuleFit
0.06999999999999999,0.322511864639934,0.322511864639934,NHANES CKD cross-validation,RuleFit
0.07999999999999999,0.3151478631686289,0.3151478631686289,NHANES CKD cross-validation,RuleFit
0.09,0.3076220155111413,0.3076220155111413,NHANES CKD cross-validation,RuleFit
